,0
451,Marcus
452,Maren
453,Margit
454,Margrete
455,Margrethe
456,Mari 1
457,Maria
458,Mariann
459,Marianne
460,Marie
461,Marina
462,Marit
463,Marita 2
464,Marius
465,Markus
466,Marte 1
467,Martha
468,Marthe
469,Martin
470,Martine
471,Mathea
472,Matheo
473,Mathias
474,Mathilde
475,Mats
476,Matteus
477,Mattis
478,Max
479,Maximilian
480,Merete
481,Merethe
482,Mette
483,Mia
484,Michael
485,Mie
486,Mikael
487,Mikkel
488,Milian
489,Milla
490,Mille
491,Milly
492,Miriam
493,Mona 2
494,Monica
495,Monika
496,Morten
497,Nanna 1
498,Natalia
499,Natalie
500,Nathalie
501,Nicolai
502,Niklas
503,Nils
504,Nina 1
505,Njål
506,Njord
507,Nora 1
508,Oda
509,Odd
510,Oddbjørg
511,Oddbjørn
512,Oddmund
513,Oddny
514,Oddrun
515,Oddvar
516,Oddveig
517,Øivind
518,Ola 1
519,Olaf
520,Olaug
521,Olav
522,Ole
523,Olga
524,Oline
525,Oliver
526,Olivia
527,Olve
528,Ørjan
529,Oscar
530,Oskar
531,Osvald
532,Ottar
533,Otto
534,Ove
535,Øydis
536,Øystein
537,Øyvind
538,Pål
539,Patrick
540,Paul
541,Paula
542,Pauline
543,Peder
544,Peer
545,Per
546,Pernille
547,Peter
548,Petter
549,Philip
550,Pia
551,Preben
552,Ragna
553,Ragnar
554,Ragnhild
555,Ragnvald
556,Rakel
557,Randi 2
558,Rasmus
559,Rebekka
560,Regina
561,Regine
562,Reidar
563,Reidun
564,Renate
565,Richard
566,Rigmor
567,Rikard
568,Rita
569,Roald
570,Roar
571,Robert
572,Roger
573,Rolf
574,Rosa 1
575,Ruben
576,Runa
577,Runar
578,Rune
579,Ruth 1
580,Samuel
581,Sander
582,Sandra
583,Sara
584,Sarah
585,Sebastian
586,Selma 1
587,Severin
588,Sidsel
589,Sigfrid 2
590,Sigmund
591,Signe
592,Signy
593,Sigrid
594,Sigrun
595,Sigurd
596,Silje
597,Simen
598,Simon 1
599,Sindre
600,Siri
601,Sissel
602,Siv
603,Sivert
604,Siw
605,Sjurd
606,Snorre
607,Sofia
608,Sofie
609,Solbjørg
610,Solfrid
611,Solveig
612,Sølvi
613,Sondre
614,Sonja
615,Ståle
616,Stefan
617,Steffen
618,Stein
619,Steinar
620,Sten
621,Stian
622,Stig
623,Stina
624,Stine
625,Storm
626,Sunniva
627,Susann
628,Susanne
629,Svanhild
630,Svein
631,Sven
632,Sverre
633,Sylvi
634,Sylvia
635,Synne
636,Synnøve
637,Tallak
638,Tanja
639,Tatiana
640,Teodor
641,Teresa
642,Terese
643,Terje 1
644,Thea
645,Theodor
646,Therese
647,Thomas
648,Thor
649,Thora
650,Thorbjørn
651,Thore
652,Thorstein
653,Thorvald
654,Tim
655,Tina
656,Tine 1
657,Tiril
658,Tobias
659,Tollak
660,Tom 1
661,Tomas
662,Tomine
663,Tone 2
664,Tonje
665,Tor
666,Tora
667,Torbjørg
668,Torbjørn
669,Torborg
670,Tord
671,Tordis
672,Tore 1
673,Torfinn
674,Torgeir
675,Torger
676,Torgils
677,Torhild
678,Toril
679,Torild
680,Torill
681,Torkel
682,Torleif
683,Tormod
684,Torny
685,Torø
686,Torstein
687,Torunn
688,Torvald
689,Tove
690,Trond
691,Trude
692,Truls
693,Tryggve
694,Trygve
695,Trym
696,Turid
697,Tuva
698,Ulf
699,Ulrik
700,Ulrikke
701,Unn
702,Unni
703,Valborg
704,Vanja
705,Varg
706,Vebjørn
707,Vegard
708,Vera 1
709,Veronika
710,Veslemøy
711,Vetle
712,Vibeke
713,Victor
714,Victoria
715,Vidar
716,Vigdis
717,Viggo
718,Viktor
719,Viktoria
720,Vilde 1
721,Vilhelm
722,Viljar 2
723,Vivi
724,Vivian
725,Walter
726,Wenche
727,Ylva
728,Yngvar
729,Yngve
730,Yvonne
